1498586595.29 {'correction_signal': 2.5066, 'message': 'ok', 'error_signal': 0.0053}
1498586601.1 {'correction_signal': 2.5043, 'message': 'ok', 'error_signal': 0.0064}
1498586606.92 {'correction_signal': 2.5057, 'message': 'ok', 'error_signal': 0.0018}
1498586612.74 {'correction_signal': 2.5015, 'message': 'ok', 'error_signal': -0.0052}
1498586618.55 {'correction_signal': 2.5041, 'message': 'ok', 'error_signal': 0.0035}
1498586624.37 {'correction_signal': 2.5042, 'message': 'ok', 'error_signal': -0.0063}
1498586630.18 {'correction_signal': 2.5053, 'message': 'ok', 'error_signal': 0.0021}
1498586636.0 {'correction_signal': 2.5047, 'message': 'ok', 'error_signal': 0.0008}
1498586641.83 {'correction_signal': 2.5058, 'message': 'ok', 'error_signal': 0.002}
1498586647.65 {'correction_signal': 2.5029, 'message': 'ok', 'error_signal': -0.0003}
1498586653.46 {'correction_signal': 2.5041, 'message': 'ok', 'error_signal': 0.0018}
1498586659.28 {'correction_signal': 2.5018, 'message': 'ok', 'error_signal': 0.0116}
1498586665.1 {'correction_signal': 2.4999, 'message': 'ok', 'error_signal': 0.0002}
1498586670.91 {'correction_signal': 2.501, 'message': 'ok', 'error_signal': 0.0006}
1498586676.72 {'correction_signal': 2.4987, 'message': 'ok', 'error_signal': 0.0012}
1498586682.52 {'correction_signal': 2.4972, 'message': 'ok', 'error_signal': -0.0015}
1498586688.35 {'correction_signal': 2.4994, 'message': 'ok', 'error_signal': 0.0012}
1498586694.15 {'correction_signal': 2.5014, 'message': 'ok', 'error_signal': -0.0026}
1498586699.96 {'correction_signal': 2.4963, 'message': 'ok', 'error_signal': 0.0009}
1498586705.78 {'correction_signal': 2.5024, 'message': 'ok', 'error_signal': 0.007}
1498586711.59 {'correction_signal': 2.5058, 'message': 'ok', 'error_signal': -0.0052}
1498586717.41 {'correction_signal': 2.5032, 'message': 'ok', 'error_signal': -0.0046}
1498586723.22 {'correction_signal': 2.4982, 'message': 'ok', 'error_signal': -0.0012}
1498586729.03 {'correction_signal': 2.4993, 'message': 'ok', 'error_signal': 0.005}
1498586734.85 {'correction_signal': 2.5026, 'message': 'ok', 'error_signal': 0.0073}
1498586740.66 {'correction_signal': 2.501, 'message': 'ok', 'error_signal': -0.0038}
1498586746.48 {'correction_signal': 2.5017, 'message': 'ok', 'error_signal': -0.0046}
1498586752.29 {'correction_signal': 2.5006, 'message': 'ok', 'error_signal': 0.0108}
1498586758.09 {'correction_signal': 2.4995, 'message': 'ok', 'error_signal': -0.0055}
1498586763.92 {'correction_signal': 2.4991, 'message': 'ok', 'error_signal': -0.0055}
1498586769.72 {'correction_signal': 2.5024, 'message': 'ok', 'error_signal': 0.0114}
1498586775.55 {'correction_signal': 2.5055, 'message': 'ok', 'error_signal': -0.005}
1498586781.37 {'correction_signal': 2.507, 'message': 'ok', 'error_signal': 0.0052}
1498586787.17 {'correction_signal': 2.5113, 'message': 'ok', 'error_signal': 0.0066}
1498586793.0 {'correction_signal': 2.5133, 'message': 'ok', 'error_signal': 0.0034}
1498586798.84 {'correction_signal': 2.5122, 'message': 'ok', 'error_signal': 0.0009}
1498586804.66 {'correction_signal': 2.5106, 'message': 'ok', 'error_signal': -0.0005}
1498586810.48 {'correction_signal': 2.5118, 'message': 'ok', 'error_signal': -0.0003}
1498586816.31 {'correction_signal': 2.5143, 'message': 'ok', 'error_signal': 0.0037}
1498586822.13 {'correction_signal': 2.5166, 'message': 'ok', 'error_signal': -0.0052}
1498586827.95 {'correction_signal': 2.5171, 'message': 'ok', 'error_signal': 0.002}
1498586833.79 {'correction_signal': 2.5142, 'message': 'ok', 'error_signal': -0.0056}
1498586839.61 {'correction_signal': 2.5156, 'message': 'ok', 'error_signal': -0.0032}
1498586845.44 {'correction_signal': 2.5169, 'message': 'ok', 'error_signal': 0.0031}
1498586851.26 {'correction_signal': 2.517, 'message': 'ok', 'error_signal': -0.0012}
1498586857.08 {'correction_signal': 2.52, 'message': 'ok', 'error_signal': -0.0024}
1498586862.92 {'correction_signal': 2.5173, 'message': 'ok', 'error_signal': -0.0027}
1498586868.74 {'correction_signal': 2.518, 'message': 'ok', 'error_signal': -0.0035}
