1498623206.58 {'correction_signal': 3.4184, 'message': 'ok', 'error_signal': -0.0055}
1498623212.41 {'correction_signal': 3.4189, 'message': 'ok', 'error_signal': 0.0089}
1498623218.23 {'correction_signal': 3.4213, 'message': 'ok', 'error_signal': 0.0023}
1498623224.08 {'correction_signal': 3.422, 'message': 'ok', 'error_signal': -0.0073}
1498623229.9 {'correction_signal': 3.4211, 'message': 'ok', 'error_signal': 0.0014}
1498623235.74 {'correction_signal': 3.4203, 'message': 'ok', 'error_signal': -0.0067}
1498623241.56 {'correction_signal': 3.4234, 'message': 'ok', 'error_signal': 0.0027}
1498623247.4 {'correction_signal': 3.4272, 'message': 'ok', 'error_signal': -0.0012}
1498623253.22 {'correction_signal': 3.4271, 'message': 'ok', 'error_signal': -0.0018}
1498623259.06 {'correction_signal': 3.4273, 'message': 'ok', 'error_signal': 0.0021}
1498623264.88 {'correction_signal': 3.4279, 'message': 'ok', 'error_signal': -0.0012}
1498623270.71 {'correction_signal': 3.4273, 'message': 'ok', 'error_signal': -0.004}
1498623276.55 {'correction_signal': 3.4278, 'message': 'ok', 'error_signal': 0.0026}
1498623282.37 {'correction_signal': 3.4276, 'message': 'ok', 'error_signal': -0.0046}
1498623288.21 {'correction_signal': 3.4295, 'message': 'ok', 'error_signal': -0.005}
1498623294.03 {'correction_signal': 3.4272, 'message': 'ok', 'error_signal': 0.0008}
1498623299.87 {'correction_signal': 3.4252, 'message': 'ok', 'error_signal': -0.0072}
1498623305.69 {'correction_signal': 3.4267, 'message': 'ok', 'error_signal': -0.0002}
1498623311.53 {'correction_signal': 3.4286, 'message': 'ok', 'error_signal': -0.0049}
1498623317.35 {'correction_signal': 3.4321, 'message': 'ok', 'error_signal': 0.0046}
1498623323.18 {'correction_signal': 3.4345, 'message': 'ok', 'error_signal': -0.0037}
1498623329.02 {'correction_signal': 3.4333, 'message': 'ok', 'error_signal': 0.0079}
1498623334.84 {'correction_signal': 3.4321, 'message': 'ok', 'error_signal': 0.0021}
1498623340.68 {'correction_signal': 3.4322, 'message': 'ok', 'error_signal': -0.0024}
1498623346.5 {'correction_signal': 3.4346, 'message': 'ok', 'error_signal': -0.0031}
1498623352.32 {'correction_signal': 3.4366, 'message': 'ok', 'error_signal': 0.0049}
1498623358.16 {'correction_signal': 3.4378, 'message': 'ok', 'error_signal': 0.0021}
1498623363.98 {'correction_signal': 3.4387, 'message': 'ok', 'error_signal': -0.0005}
1498623369.82 {'correction_signal': 3.4383, 'message': 'ok', 'error_signal': 0.0021}
1498623375.65 {'correction_signal': 3.4412, 'message': 'ok', 'error_signal': -0.0018}
1498623381.48 {'correction_signal': 3.4422, 'message': 'ok', 'error_signal': 0.0027}
1498623387.31 {'correction_signal': 3.4442, 'message': 'ok', 'error_signal': 0.0056}
1498623393.13 {'correction_signal': 3.4427, 'message': 'ok', 'error_signal': -0.004}
1498623398.97 {'correction_signal': 3.443, 'message': 'ok', 'error_signal': 0.0006}
1498623404.79 {'correction_signal': 3.4437, 'message': 'ok', 'error_signal': 0.0009}
1498623410.63 {'correction_signal': 3.4466, 'message': 'ok', 'error_signal': 0.0049}
1498623416.45 {'correction_signal': 3.4475, 'message': 'ok', 'error_signal': -0.0049}
1498623422.29 {'correction_signal': 3.4472, 'message': 'ok', 'error_signal': 0.0034}
1498623428.12 {'correction_signal': 3.4492, 'message': 'ok', 'error_signal': -0.0015}
1498623433.96 {'correction_signal': 3.447, 'message': 'ok', 'error_signal': -0.0061}
1498623439.78 {'correction_signal': 3.4494, 'message': 'ok', 'error_signal': -0.0134}
1498623445.6 {'correction_signal': 3.4535, 'message': 'ok', 'error_signal': -0.0011}
1498623451.44 {'correction_signal': 3.4544, 'message': 'ok', 'error_signal': -0.0012}
1498623457.26 {'correction_signal': 3.4515, 'message': 'ok', 'error_signal': -0.0015}
1498623463.1 {'correction_signal': 3.4496, 'message': 'ok', 'error_signal': -0.0052}
1498623468.93 {'correction_signal': 3.4525, 'message': 'ok', 'error_signal': -0.0006}
1498623474.76 {'correction_signal': 3.4545, 'message': 'ok', 'error_signal': 0.0021}
1498623480.59 {'correction_signal': 3.4529, 'message': 'ok', 'error_signal': -0.0024}
1498623486.43 {'correction_signal': 3.4539, 'message': 'ok', 'error_signal': 0.0034}
1498623492.25 {'correction_signal': 3.4547, 'message': 'ok', 'error_signal': 0.0003}
1498623498.09 {'correction_signal': 3.4545, 'message': 'ok', 'error_signal': -0.0018}
1498623503.91 {'correction_signal': 3.4569, 'message': 'ok', 'error_signal': -0.0011}
1498623509.75 {'correction_signal': 3.4579, 'message': 'ok', 'error_signal': -0.006}
1498623515.57 {'correction_signal': 3.4601, 'message': 'ok', 'error_signal': 0.0017}
1498623521.4 {'correction_signal': 3.461, 'message': 'ok', 'error_signal': -0.0018}
1498623527.23 {'correction_signal': 3.4602, 'message': 'ok', 'error_signal': -0.0027}
1498623533.06 {'correction_signal': 3.4604, 'message': 'ok', 'error_signal': -0.0018}
1498623538.9 {'correction_signal': 3.4617, 'message': 'ok', 'error_signal': 0.005}
1498623544.72 {'correction_signal': 3.4615, 'message': 'ok', 'error_signal': 0.014}
1498623550.56 {'correction_signal': 3.4623, 'message': 'ok', 'error_signal': -0.0008}
1498623556.38 {'correction_signal': 3.4623, 'message': 'ok', 'error_signal': -0.0029}
1498623562.22 {'correction_signal': 3.4658, 'message': 'ok', 'error_signal': 0.0092}
1498623568.04 {'correction_signal': 3.4676, 'message': 'ok', 'error_signal': -0.0035}
1498623573.87 {'correction_signal': 3.4689, 'message': 'ok', 'error_signal': -0.0005}
1498623579.7 {'correction_signal': 3.4672, 'message': 'ok', 'error_signal': -0.0005}
1498623585.53 {'correction_signal': 3.4697, 'message': 'ok', 'error_signal': 0.0024}
1498623591.37 {'correction_signal': 3.469, 'message': 'ok', 'error_signal': -0.0002}
1498623597.19 {'correction_signal': 3.4685, 'message': 'ok', 'error_signal': 0.0009}
1498623603.03 {'correction_signal': 3.4693, 'message': 'ok', 'error_signal': -0.0008}
1498623608.85 {'correction_signal': 3.4702, 'message': 'ok', 'error_signal': 0.0073}
1498623614.69 {'correction_signal': 3.4703, 'message': 'ok', 'error_signal': -0.0014}
